errorrate,iterations,density,l,c,m,gamma,erasures,maxiterations,tests,efficiency,fsum,fcorrupt,pcons,pdes,degree,activities,alphabetsize,winners,poolsize,efficacy,refficacy,retrievedproportion,eta,aeta,peta,paeta,ipeta,ipaeta,ieta,iaeta,infoalphabet,onlydrop
0.37,1,0.141420636858259,256,8,10000,1,4,1,1000,0.281809603121352,sum_of_sum!,erase_clusters!,0,0,0,1,256,0,1,0.177540049966452,0.355080099932903,6300,0.177540049966452,0.2197265625,0.355080099932903,0.439453125,0.0443850124916129,0.054931640625,NA,NA,NA,FALSE
0.879,1,0.456550053187779,256,8,10000,1,4,1,1000,0.586739213754498,sum_of_sum!,erase_clusters!,0,0,0,2,32640,0,1,0.0709954448642943,0.141990889728589,1210,0.0709954448642943,0.0790979337794678,0.141990889728589,0.158195867558936,0.00946962403724254,0.0105503627232143,NA,NA,NA,FALSE
0.553,1,0.1487671988351,256,8,10000,1,4,1,1000,0.281809603121352,sum_of_sum!,erase_clusters!,0.01,0,0,1,256,0,1,0.125968892595244,0.251937785190489,4470,0.125968892595244,0.155901227678571,0.251937785190489,0.311802455357143,0.0314922231488111,0.0389753069196429,NA,NA,NA,FALSE
0.958,1,0.457789557320731,256,8,10000,1,4,1,1000,0.586739213754498,sum_of_sum!,erase_clusters!,0.01,0,0,2,32640,0,1,0.0246430469776889,0.0492860939553779,420,0.0246430469776889,0.0274554811465922,0.0492860939553779,0.0549109622931843,0.00328697693854699,0.003662109375,NA,NA,NA,FALSE
0.658,1,0.155940464564732,256,8,10000,1,4,1,1000,0.281809603121352,sum_of_sum!,erase_clusters!,0.02,0,0,1,256,0,1,0.0963788842675023,0.192757768535005,3420,0.0963788842675023,0.119280133928571,0.192757768535005,0.238560267857143,0.0240947210668756,0.0298200334821429,NA,NA,NA,FALSE
0.985,1,0.458431788853237,256,8,10000,1,4,1,1000,0.586739213754498,sum_of_sum!,erase_clusters!,0.02,0,0,2,32640,0,1,0.00880108820631748,0.017602176412635,150,0.00880108820631748,0.00980552898092578,0.017602176412635,0.0196110579618516,0.00117392033519536,0.00130789620535715,NA,NA,NA,FALSE
0.764,1,0.162990025111607,256,8,10000,1,4,1,1000,0.281809603121352,sum_of_sum!,erase_clusters!,0.03,0,0,1,256,0,1,0.066507066336639,0.133014132673278,2360,0.066507066336639,0.0823102678571429,0.133014132673278,0.164620535714286,0.0166267665841597,0.0205775669642858,NA,NA,NA,FALSE
0.997,1,0.459106172834124,256,8,10000,1,4,1,1000,0.586739213754498,sum_of_sum!,erase_clusters!,0.03,0,0,2,32640,0,1,0.0017602176412635,0.00352043528252699,30,0.0017602176412635,0.00196110579618516,0.00352043528252699,0.00392221159237031,0.000234784067039071,0.000261579241071429,NA,NA,NA,FALSE
0.849,1,0.170134680611747,256,8,10000,1,4,1,1000,0.281809603121352,sum_of_sum!,erase_clusters!,0.04,0,0,1,256,0,1,0.0425532500713241,0.0851065001426483,1510,0.0425532500713241,0.0526646205357143,0.0851065001426483,0.105329241071429,0.010638312517831,0.0131661551339286,NA,NA,NA,FALSE
0.996,1,0.460536411830357,256,8,10000,1,4,1,1000,0.586739213754498,sum_of_sum!,erase_clusters!,0.04,0,0,2,32640,0,1,0.002346956855018,0.00469391371003599,40,0.002346956855018,0.00261480772824687,0.00469391371003599,0.00522961545649375,0.000313045422718761,0.000348772321428572,NA,NA,NA,FALSE
0.9,1,0.177353177751814,256,8,10000,1,4,1,1000,0.281809603121352,sum_of_sum!,erase_clusters!,0.05,0,0,1,256,0,1,0.0281809603121352,0.0563619206242703,1000,0.0281809603121352,0.0348772321428571,0.0563619206242703,0.0697544642857143,0.00704524007803379,0.00871930803571429,NA,NA,NA,FALSE
1,1,0.461494718279157,256,8,10000,1,4,1,1000,0.586739213754498,sum_of_sum!,erase_clusters!,0.05,0,0,2,32640,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,FALSE
0.001,1.362,0.141348702566964,256,8,10000,1,4,4,1000,0.281809603121352,sum_of_sum!,erase_clusters!,0,0,0,1,256,0,1,0.28152779351823,0.563055587036461,9990,0.28152779351823,0.348423549107143,0.563055587036461,0.696847098214286,0.0703819483795576,0.0871058872767858,NA,NA,NA,FALSE
